"MPIO_CDPMP","REGION","Card_6t9","elsnl_6t9","elsnmr_6t9","clrgst_6t9","clrgwk_6t9","FID_6t9"
"17433","Región Eje Cafetero - Antioquia","North",0.25,0.222,0.333,0.1,235
"17442","Región Eje Cafetero - Antioquia","North",0.25,0.222,0.333,0.1,234
"17444","Región Eje Cafetero - Antioquia","North",0.25,0.222,0.333,0.1,233
"17446","Región Eje Cafetero - Antioquia","North",0.25,0.222,0.333,0.1,232
"17486","Región Eje Cafetero - Antioquia","North",0.25,0.222,0.333,0.1,231
"17495","Región Eje Cafetero - Antioquia","North",0.25,0.222,0.333,0.1,243
"17513","Región Eje Cafetero - Antioquia","North",0.25,0.222,0.333,0.1,254
"17524","Región Eje Cafetero - Antioquia","North",0.25,0.222,0.333,0.1,253
"17541","Región Eje Cafetero - Antioquia","North",0.25,0.222,0.333,0.1,252
"17614","Región Eje Cafetero - Antioquia","North",0.25,0.222,0.333,0.1,255
"17616","Región Eje Cafetero - Antioquia","North",0.25,0.222,0.333,0.1,251
"17653","Región Eje Cafetero - Antioquia","North",0.25,0.222,0.333,0.1,250
"17662","Región Eje Cafetero - Antioquia","North",0.25,0.222,0.333,0.1,249
"17665","Región Eje Cafetero - Antioquia","North",0.25,0.222,0.333,0.1,248
"17777","Región Eje Cafetero - Antioquia","North",0.25,0.222,0.333,0.1,247
"17867","Región Eje Cafetero - Antioquia","North",0.25,0.222,0.333,0.1,246
"17873","Región Eje Cafetero - Antioquia","North",0.25,0.222,0.333,0.1,245
"17877","Región Eje Cafetero - Antioquia","North",0.25,0.222,0.333,0.1,244
"18001","Región Centro Sur","South",0.25,0,0,0.5,0
"18029","Región Centro Sur","South",0.25,0,0,0.5,1
"18094","Región Centro Sur","South",0.25,0,0,0.5,2
"18150","Región Centro Sur","South",0.25,0,0,0.5,10
"18205","Región Centro Sur","South",0.25,0,0,0.5,14
"18247","Región Centro Sur","South",0.25,0,0,0.5,3
"18256","Región Centro Sur","South",0.25,0,0,0.5,4
"18410","Región Centro Sur","South",0.25,0,0,0.5,5
"18460","Región Centro Sur","South",0.25,0,0,0.5,6
"18479","Región Centro Sur","South",0.25,0,0,0.5,7
"18592","Región Centro Sur","South",0.25,0,0,0.5,15
"18610","Región Centro Sur","South",0.25,0,0,0.5,8
"18753","Región Centro Sur","South",0.25,0,0,0.5,11
"18756","Región Centro Sur","South",0.25,0,0,0.5,12
"18785","Región Centro Sur","South",0.25,0,0,0.5,13
"18860","Región Centro Sur","South",0.25,0,0,0.5,9
"19001","Región Pacífico","West",0.125,0,0.111,0.3,16
"19022","Región Pacífico","West",0.125,0,0.111,0.3,17
"19050","Región Pacífico","West",0.125,0,0.111,0.3,18
"19075","Región Pacífico","West",0.125,0,0.111,0.3,19
"19100","Región Pacífico","West",0.125,0,0.111,0.3,20
"19110","Región Pacífico","West",0.125,0,0.111,0.3,21
"19130","Región Pacífico","West",0.125,0,0.111,0.3,22
"19137","Región Pacífico","West",0.125,0,0.111,0.3,23
"19142","Región Pacífico","West",0.125,0,0.111,0.3,24
"19212","Región Pacífico","West",0.125,0,0.111,0.3,25
"19256","Región Pacífico","West",0.125,0,0.111,0.3,53
"19290","Región Pacífico","West",0.125,0,0.111,0.3,26
"19300","Región Pacífico","West",0.125,0,0.111,0.3,27
"19318","Región Pacífico","West",0.125,0,0.111,0.3,54
"19355","Región Pacífico","West",0.125,0,0.111,0.3,28
"19364","Región Pacífico","West",0.125,0,0.111,0.3,29
"19392","Región Pacífico","West",0.125,0,0.111,0.3,30
"19397","Región Pacífico","West",0.125,0,0.111,0.3,31
"19418","Región Pacífico","West",0.125,0,0.111,0.3,55
"19450","Región Pacífico","West",0.125,0,0.111,0.3,32
"19455","Región Pacífico","West",0.125,0,0.111,0.3,33
"19473","Región Pacífico","West",0.125,0,0.111,0.3,34
"19513","Región Pacífico","West",0.125,0,0.111,0.3,35
"19517","Región Pacífico","West",0.125,0,0.111,0.3,36
"19532","Región Pacífico","West",0.125,0,0.111,0.3,37
