"MPIO_CDPMP","depto","provincia","indrur0t1","elsnl_0t1","elsnmr_0t1","clrgst_0t1","clrgwk_0t1","FID_0t1"
"15673","Boyacá","Norte",0.650960385799408,0.875,0,0,1,726
"15676","Boyacá","Occidente",0.863077461719513,0.875,0,0,1,727
"15681","Boyacá","Occidente",0.887257874011993,0.875,0,0,1,728
"15686","Boyacá","Ricaurte",0.666226029396057,0.875,0,0,1,729
"15690","Boyacá","Neira",0.407979756593704,0.125,1,0.889,0,730
"15693","Boyacá","Tundama",0.39254555106163,0.125,1,0.889,0,731
"15696","Boyacá","Ricaurte",0.679458975791931,0.875,0,0,1,732
"15720","Boyacá","Norte",0.693831622600555,0.875,0,0,1,733
"15723","Boyacá","Norte",0.724703729152679,0.875,0,0,1,734
"15740","Boyacá","Centro",0.834002077579498,0.875,0,0,1,735
"15753","Boyacá","Norte",0.293293625116348,0.125,1,0.889,0,736
"15755","Boyacá","Valderrama",0.804329931735992,0.875,0,0,1,669
"15757","Boyacá","Valderrama",0.466364324092865,0.125,1,0.889,0,670
"15759","Boyacá","Sugamuxi",0.121193066239357,0.125,1,0.889,0,671
"15761","Boyacá","Oriente",0.774914085865021,0.875,0,0,1,672
"15762","Boyacá","Centro",0.839019536972046,0.875,0,0,1,737
"15763","Boyacá","Centro",0.88912034034729,0.875,0,0,1,738
"15764","Boyacá","Centro",0.754618763923645,0.875,0,0,1,739
"15774","Boyacá","Norte",0.777696013450623,0.875,0,0,1,740
"15776","Boyacá","Ricaurte",0.6547931432724,0.875,0,0,1,741
"15778","Boyacá","Oriente",0.827072978019714,0.875,0,0,1,742
"15790","Boyacá","Valderrama",0.723733425140381,0.875,0,0,1,743
"15798","Boyacá","Oriente",0.707348763942719,0.875,0,0,1,744
"15804","Boyacá","Marquez",0.808971405029297,0.875,0,0,1,745
"15806","Boyacá","Sugamuxi",0.672488391399384,0.875,0,0,1,746
"15808","Boyacá","Ricaurte",0.774341702461243,0.875,0,0,1,747
"15810","Boyacá","Norte",0.718025863170624,0.875,0,0,1,748
"15814","Boyacá","Centro",0.51990419626236,0.875,0,0,1,749
"15816","Boyacá","Ricaurte",0.85767012834549,0.875,0,0,1,750
"15820","Boyacá","Sugamuxi",0.708598256111145,0.875,0,0,1,751
"15822","Boyacá","Sugamuxi",0.835103273391724,0.875,0,0,1,752
"15832","Boyacá","Occidente",0.833766222000122,0.875,0,0,1,753
"15835","Boyacá","Marquez",0.661327242851257,0.875,0,0,1,754
"15837","Boyacá","Centro",0.719332218170166,0.875,0,0,1,755
"15839","Boyacá","Tundama",0.917156875133514,0.875,0,0,1,756
"15842","Boyacá","Marquez",0.864674627780914,0.875,0,0,1,673
"15861","Boyacá","Centro",0.850694000720978,0.875,0,0,1,674
"15879","Boyacá","Marquez",0.849841356277466,0.875,0,0,1,675
"15897","Boyacá","Lengupa",0.748757839202881,0.875,0,0,1,676
"17001","Caldas","Centro",0.0671473294496536,0.125,1,0.889,0,229
"17013","Caldas","Norte",0.494720250368118,0.125,1,0.889,0,230
"17042","Caldas","Bajo occidente",0.43887796998024,0.125,1,0.889,0,242
"17050","Caldas","Norte",0.353509515523911,0.125,1,0.889,0,241
"17088","Caldas","Bajo occidente",0.570075035095215,0.875,0,0,1,240
"17174","Caldas","Centro",0.130697667598724,0.125,1,0.889,0,239
"17272","Caldas","Alto occidente",0.661426961421967,0.875,0,0,1,238
"17380","Caldas","Oriente",0.130296915769577,0.125,1,0.889,0,237
"17388","Caldas","Alto occidente",0.641679167747498,0.875,0,0,1,236
"17433","Caldas","Alto oriente",0.429886221885681,0.125,1,0.889,0,235
"17442","Caldas","Alto occidente",0.89153915643692,0.875,0,0,1,234
"17444","Caldas","Alto oriente",0.520724773406982,0.875,0,0,1,233
"17446","Caldas","Alto oriente",0.68431144952774,0.875,0,0,1,232
"17486","Caldas","Centro",0.449961960315704,0.125,1,0.889,0,231
"17495","Caldas","Oriente",0.334606438875198,0.125,1,0.889,0,243
"17513","Caldas","Norte",0.51517128944397,0.875,0,0,1,254
"17524","Caldas","Centro",0.680938601493835,0.875,0,0,1,253
"17541","Caldas","Alto oriente",0.612919449806213,0.875,0,0,1,252
"17614","Caldas","Alto occidente",0.643978357315063,0.875,0,0,1,255
"17616","Caldas","Bajo occidente",0.610078573226929,0.875,0,0,1,251
"17653","Caldas","Norte",0.416499704122543,0.125,1,0.889,0,250
"17662","Caldas","Oriente",0.710374474525452,0.875,0,0,1,249
"17665","Caldas","Bajo occidente",0.73485004901886,0.875,0,0,1,248
"17777","Caldas","Alto occidente",0.528908610343933,0.875,0,0,1,247
"17867","Caldas","Oriente",0.577040493488312,0.875,0,0,1,246
"17873","Caldas","Centro",0.135463714599609,0.125,1,0.889,0,245
"17877","Caldas","Bajo occidente",0.15933720767498,0.125,1,0.889,0,244
"18001","Caquetá","Caquetá",0.121220581233501,0.125,1,0.889,0,0
"18029","Caquetá","Caquetá",0.559358298778534,0.875,0,0,1,1
"18094","Caquetá","Caquetá",0.387260675430298,0.125,1,0.889,0,2
"18150","Caquetá","Caquetá",0.492285937070847,0.125,1,0.889,0,10
"18205","Caquetá","Caquetá",0.307124972343445,0.125,1,0.889,0,14
"18247","Caquetá","Caquetá",0.299160361289978,0.125,1,0.889,0,3
"18256","Caquetá","Caquetá",0.508871138095856,0.875,0,0,1,4
"18410","Caquetá","Caquetá",0.83233654499054,0.875,0,0,1,5
"18460","Caquetá","Caquetá",0.897048234939575,0.875,0,0,1,6
"18479","Caquetá","Caquetá",0.457274198532104,0.125,1,0.889,0,7
"18592","Caquetá","Caquetá",0.454538583755493,0.125,1,0.889,0,15
"18610","Caquetá","Caquetá",0.508322238922119,0.875,0,0,1,8
"18753","Caquetá","Caquetá",0.538003504276276,0.875,0,0,1,11
"18756","Caquetá","Caquetá",0.751917243003845,0.875,0,0,1,12
"18785","Caquetá","Caquetá",0.409266412258148,0.125,1,0.889,0,13
"18860","Caquetá","Caquetá",0.660810232162476,0.875,0,0,1,9
"19001","Cauca","Centro",0.161913350224495,0.125,1,0.889,0,16
"19022","Cauca","Sur",0.927042126655579,0.875,0,0,1,17
"19050","Cauca","Sur",0.896725833415985,0.875,0,0,1,18
"19075","Cauca","Sur",0.744504451751709,0.875,0,0,1,19
"19100","Cauca","Sur",0.868061423301697,0.875,0,0,1,20
"19110","Cauca","Norte",0.961254596710205,0.875,0,0,1,21
"19130","Cauca","Centro",0.947588920593262,0.875,0,0,1,22
"19137","Cauca","Oriente",0.945576548576355,0.875,0,0,1,23
"19142","Cauca","Norte",0.824492216110229,0.875,0,0,1,24
